X;Y;osm_id;type;name;operator;wheelchair;access;opening_hours;fee;supervised;for_everyone;for_child;for_women;for_men;drinking_water;toilets_disposal;toilets_position;paper_supplied;handwashing;changing_table;com_insee;com_nom
-1.7495771;43.3766958005419;node/5040823669;toilettes_publiques;;;;;;no;;;;yes;yes;;;;;;;"64260";Hendaye
-1.3401946;43.1786845005401;node/5041203179;toilettes_publiques;;;;;;;;;;;;;;;;;;"64477";Saint-Étienne-de-Baïgorry
1.2884241;45.7504500003794;node/5043076136;toilettes_publiques;;;;;;;;;;;;;;;;;;"87205";Le Vigen
-1.2447576;45.9371461003521;node/5044874407;toilettes_publiques;;Théâtre d'ardoises;;customers;;;;;;;;;bucket;;;;;"17140";Dolus-d'Oléron
-1.3592835;45.9339597003526;node/5045271924;toilettes_publiques;;;yes;;;no;;;;;;no;;;;;;"17385";Saint-Pierre-d'Oléron
-1.2446613;45.9370691003521;node/5045291922;toilettes_publiques;;;;;;;;;;;;;;;;;;"17140";Dolus-d'Oléron
-1.3460112;45.9289563003534;node/5046708121;toilettes_publiques;;;;;;;;;;;;no;pitlatrine;;;;;"17385";Saint-Pierre-d'Oléron
2.4992816;45.4124734004236;node/5059048519;toilettes_publiques;;;;customers;;;;;;;;;;;;;;"19028";Bort-les-Orgues
-1.1298269;44.4615512005106;node/5059622126;toilettes_publiques;;;;customers;;;;;;;;;;;;;;"40046";Biscarrosse
-1.2011187;46.2011362003102;node/5062365481;toilettes_publiques;;;;;;;;;;;;;;;;;;"17190";L'Houmeau
-1.1681085;45.6893842003879;node/5064132337;toilettes_publiques;;;yes;;;no;;;;;;;;;;;no;"17225";Les Mathes
-1.1645441;45.6867280003883;node/5064132499;toilettes_publiques;;;yes;;;no;;;;;;;;;;;yes;"17225";Les Mathes
-1.0985536;45.9897671003441;node/5064132501;toilettes_publiques;;;no;;;no;;;;;;;;;;;;"17168";Fouras
1.9379187;45.0925262004591;node/5065127419;toilettes_publiques;;;;;;;;;;;;;;;;;;"19010";Argentat-sur-Dordogne
1.8275196;46.2959811002942;node/506698490;toilettes_publiques;;;;;;;;;;;;;;;;;;"23029";Le Bourg-d'Hem
-1.1407801;44.7672237004888;node/5067389540;toilettes_publiques;;;;yes;;no;;yes;;;;;flush;;;;;"33011";Arès
-1.1392481;44.6255050004996;node/5067409522;toilettes_publiques;;;;yes;;no;;;;;;;;;;;;"33529";La Teste-de-Buch
0.7287679;44.3977583005145;node/5067460321;toilettes_erp;Total essence;;;;;;;;;;;;;;;;;"47323";Villeneuve-sur-Lot
-0.8010326;44.6761182004959;node/5070131421;toilettes_publiques;;;;;;;;;;;;;;;;;;"33284";Mios
-0.5820347;44.8121119004851;node/5071479312;toilettes_publiques;;;;;;;;;;;;;;;;;;"33522";Talence
-0.5821097;44.813535800485;node/5071532407;toilettes_publiques;;;;;;;;;;;;;;;;;;"33522";Talence
-0.251563;44.5432491005054;node/5071757168;toilettes_publiques;;;;customers;;;;;;;;;;;;;;"33227";Langon
-0.2537879;44.5444629005053;node/5071757177;toilettes_publiques;;;;customers;;;;;;;;;;;;;;"33227";Langon
-0.2557352;44.5445604005053;node/5071769778;toilettes_publiques;;;;customers;;;;;;;;;;;;;;"33227";Langon
1.6070117;45.9062946003568;node/5074308621;toilettes_publiques;;;;yes;Mar-Nov;;;yes;;;;yes;;;;;;"87190";Sauviat-sur-Vige
1.292532;45.9079121003565;node/5082648608;toilettes_erp;Station Avia;Avia;;;24/7;;;;;;;;;;;;;"87085";Limoges
1.2929348;45.9140124003556;node/5082648610;toilettes_erp;Station Esso;Esso;;;24/7;;;;;;;;;;;;;"87085";Limoges
-0.0028771;46.6612402002282;node/5083608096;toilettes_publiques;;;;;;no;;yes;;;;;flush;;;;no;"86050";Chalandray
